
2018-6-27,11:34:14
序号,名称,内容
1,装置名称,DCR150A直流牵引保护测控装置
2,制造厂家名称,广州白云电器设备股份有限公司
3,变电站名称,变电站名称
4,被保护设备名称,被保护设备名称
5,实际使用开入个数,16
6,开入名称1,IN01
7,开入名称2,IN02
8,开入名称3,IN03
9,开入名称4,IN04
10,开入名称5,IN05
11,开入名称6,IN06
12,开入名称7,IN07
13,开入名称8,IN08
14,开入名称9,IN09
15,开入名称10,IN10
16,开入名称11,IN11
17,开入名称12,IN12
18,开入名称13,IN13
19,开入名称14,IN14
20,开入名称15,IN15
21,开入名称16,IN16
22,开入名称17,IN17
23,开入名称18,IN18
24,开入名称19,IN19
25,开入名称20,IN20
26,开入名称21,IN21
27,开入名称22,IN22
28,开入名称23,IN23
29,开入名称24,IN24
30,开入名称25,IN25
31,开入名称26,IN26
32,开入名称27,IN27
33,开入名称28,IN28
34,开入名称29,IN29
35,开入名称30,IN30
36,开入名称31,IN31
37,开入名称32,IN32
38,报告名称1,动作报告1
39,报告名称2,动作报告2
40,报告名称3,动作报告3
41,报告名称4,动作报告4
42,报告名称5,动作报告5
43,报告名称6,动作报告6
44,报告名称7,动作报告7
45,报告名称8,动作报告8
46,报告名称9,动作报告9
47,报告名称10,动作报告10
48,报告名称11,动作报告11
49,报告名称12,动作报告12
50,报告名称13,动作报告13
51,报告名称14,动作报告14
52,报告名称15,动作报告15
53,报告名称16,动作报告16
54,实际使用开出个数,8
55,开出名称1,OUT01
56,开出名称2,OUT02
57,开出名称3,OUT03
58,开出名称4,OUT04
59,开出名称5,OUT05
60,开出名称6,OUT06
61,开出名称7,OUT07
62,开出名称8,装置故障常闭节点
63,开出名称9,OUT08
64,开出名称10,OUT09
65,开出名称11,OUT10
66,开出名称12,OUT11
67,开出名称13,OUT12
68,开出名称14,OUT13
69,开出名称15,OUT14
